effect_count,se_count,counterfactual_mean,effect_percent,se_percent,ci_low_percent,ci_high_percent,corridor_clusters,control_station_clusters,treated_stations,treated_corridors,control_stations,replication,attempt,drawn_corridors
-6.554527,17.160982,331.594650,-1.976668,5.261058,-13.556179,9.602842,12,66,27,12,66,18,49,PSEUDO_023;PSEUDO_033;PSEUDO_034;PSEUDO_050;PSEUDO_064;PSEUDO_074;PSEUDO_076;PSEUDO_078;PSEUDO_083;PSEUDO_095;PSEUDO_097;PSEUDO_129
67.134774,23.049866,585.309671,11.469958,2.542023,5.875004,17.064912,12,66,27,12,66,19,51,PSEUDO_019;PSEUDO_023;PSEUDO_033;PSEUDO_034;PSEUDO_057;PSEUDO_065;PSEUDO_067;PSEUDO_074;PSEUDO_077;PSEUDO_078;PSEUDO_083;PSEUDO_124
-44.119048,90.161668,640.440476,-6.888860,11.838297,-32.944776,19.167056,12,70,28,12,70,20,54,PSEUDO_023;PSEUDO_033;PSEUDO_034;PSEUDO_055;PSEUDO_057;PSEUDO_061;PSEUDO_065;PSEUDO_069;PSEUDO_074;PSEUDO_084;PSEUDO_095;PSEUDO_129
18.226667,14.722223,273.303333,6.669025,4.925540,-4.172016,17.510065,12,73,25,12,73,21,55,PSEUDO_019;PSEUDO_023;PSEUDO_050;PSEUDO_065;PSEUDO_067;PSEUDO_074;PSEUDO_077;PSEUDO_082;PSEUDO_083;PSEUDO_095;PSEUDO_103;PSEUDO_124
25.135684,15.525604,450.992521,5.573415,2.784492,-0.555211,11.702040,12,76,26,12,76,22,56,PSEUDO_019;PSEUDO_023;PSEUDO_033;PSEUDO_034;PSEUDO_050;PSEUDO_058;PSEUDO_065;PSEUDO_082;PSEUDO_095;PSEUDO_098;PSEUDO_124;PSEUDO_131
41.683761,33.041333,400.043803,10.419799,10.177838,-11.981471,32.821069,12,75,26,12,75,23,59,PSEUDO_019;PSEUDO_023;PSEUDO_034;PSEUDO_065;PSEUDO_067;PSEUDO_068;PSEUDO_069;PSEUDO_074;PSEUDO_076;PSEUDO_095;PSEUDO_124;PSEUDO_129
22.595238,39.055095,741.755952,3.046182,5.118848,-8.220326,14.312691,12,65,28,12,65,24,69,PSEUDO_033;PSEUDO_034;PSEUDO_057;PSEUDO_061;PSEUDO_065;PSEUDO_067;PSEUDO_074;PSEUDO_076;PSEUDO_095;PSEUDO_123;PSEUDO_124;PSEUDO_129
-21.371864,67.147864,699.750896,-3.054210,8.934036,-22.717892,16.609471,12,75,31,12,75,25,70,PSEUDO_033;PSEUDO_050;PSEUDO_057;PSEUDO_058;PSEUDO_061;PSEUDO_065;PSEUDO_076;PSEUDO_082;PSEUDO_095;PSEUDO_123;PSEUDO_129;PSEUDO_131
75.966667,24.334858,637.583333,11.914782,3.510125,4.189048,19.640516,12,71,30,12,71,26,72,PSEUDO_019;PSEUDO_033;PSEUDO_034;PSEUDO_050;PSEUDO_057;PSEUDO_058;PSEUDO_065;PSEUDO_077;PSEUDO_078;PSEUDO_082;PSEUDO_095;PSEUDO_123
39.324786,29.731056,572.175214,6.872857,4.333002,-2.664015,16.409730,12,67,26,12,67,27,74,PSEUDO_019;PSEUDO_033;PSEUDO_034;PSEUDO_057;PSEUDO_068;PSEUDO_077;PSEUDO_083;PSEUDO_085;PSEUDO_095;PSEUDO_097;PSEUDO_124;PSEUDO_129
49.828189,33.986855,317.205761,15.708475,14.391066,-15.966047,47.382998,12,75,27,12,75,28,80,PSEUDO_019;PSEUDO_023;PSEUDO_033;PSEUDO_065;PSEUDO_074;PSEUDO_076;PSEUDO_084;PSEUDO_095;PSEUDO_097;PSEUDO_098;PSEUDO_124;PSEUDO_129
-11.025926,77.266925,631.556481,-1.745834,11.670048,-27.431436,23.939769,12,78,30,12,78,29,82,PSEUDO_019;PSEUDO_023;PSEUDO_033;PSEUDO_034;PSEUDO_050;PSEUDO_057;PSEUDO_065;PSEUDO_067;PSEUDO_068;PSEUDO_076;PSEUDO_095;PSEUDO_124
14.361111,21.963614,490.069444,2.930424,4.828353,-7.696710,13.557558,12,64,24,12,64,30,84,PSEUDO_023;PSEUDO_033;PSEUDO_034;PSEUDO_055;PSEUDO_065;PSEUDO_069;PSEUDO_074;PSEUDO_076;PSEUDO_078;PSEUDO_082;PSEUDO_095;PSEUDO_124
47.251029,28.363731,535.465021,8.824298,3.122615,1.951469,15.697127,12,66,27,12,66,31,88,PSEUDO_019;PSEUDO_033;PSEUDO_050;PSEUDO_057;PSEUDO_061;PSEUDO_064;PSEUDO_065;PSEUDO_076;PSEUDO_078;PSEUDO_095;PSEUDO_098;PSEUDO_124
-44.817593,70.754264,639.981481,-7.002951,9.185585,-27.220288,13.214385,12,74,30,12,74,32,90,PSEUDO_019;PSEUDO_034;PSEUDO_050;PSEUDO_057;PSEUDO_058;PSEUDO_065;PSEUDO_077;PSEUDO_084;PSEUDO_095;PSEUDO_098;PSEUDO_124;PSEUDO_129
29.332437,16.405565,451.917563,6.490661,2.909513,0.086866,12.894456,12,89,31,12,89,33,101,PSEUDO_019;PSEUDO_023;PSEUDO_033;PSEUDO_034;PSEUDO_040;PSEUDO_050;PSEUDO_065;PSEUDO_084;PSEUDO_095;PSEUDO_097;PSEUDO_123;PSEUDO_124
40.222222,14.718877,450.468254,8.928980,3.428287,1.383372,16.474589,12,79,28,12,79,34,102,PSEUDO_019;PSEUDO_023;PSEUDO_034;PSEUDO_061;PSEUDO_065;PSEUDO_067;PSEUDO_069;PSEUDO_074;PSEUDO_077;PSEUDO_123;PSEUDO_124;PSEUDO_129
-3.246795,34.002723,587.057692,-0.553062,5.713565,-13.128534,12.022409,12,71,26,12,71,35,110,PSEUDO_019;PSEUDO_033;PSEUDO_034;PSEUDO_058;PSEUDO_065;PSEUDO_074;PSEUDO_078;PSEUDO_084;PSEUDO_095;PSEUDO_123;PSEUDO_124;PSEUDO_129
-53.652778,52.506326,683.597222,-7.848595,6.061681,-21.190264,5.493074,12,81,30,12,81,36,111,PSEUDO_019;PSEUDO_033;PSEUDO_034;PSEUDO_057;PSEUDO_067;PSEUDO_068;PSEUDO_078;PSEUDO_084;PSEUDO_095;PSEUDO_123;PSEUDO_129;PSEUDO_131
78.352881,64.828105,545.103909,14.373935,14.114021,-16.690817,45.438686,12,76,27,12,76,37,117,PSEUDO_019;PSEUDO_023;PSEUDO_033;PSEUDO_034;PSEUDO_057;PSEUDO_061;PSEUDO_065;PSEUDO_067;PSEUDO_076;PSEUDO_078;PSEUDO_084;PSEUDO_095
19.225198,31.543652,689.542659,2.788109,4.498943,-7.113997,12.690215,12,64,28,12,64,38,118,PSEUDO_019;PSEUDO_034;PSEUDO_050;PSEUDO_057;PSEUDO_058;PSEUDO_065;PSEUDO_068;PSEUDO_078;PSEUDO_096;PSEUDO_123;PSEUDO_124;PSEUDO_131
-49.472222,97.414906,712.632479,-6.942179,11.681704,-32.653436,18.769078,12,66,26,12,66,39,120,PSEUDO_019;PSEUDO_033;PSEUDO_034;PSEUDO_057;PSEUDO_061;PSEUDO_065;PSEUDO_074;PSEUDO_076;PSEUDO_084;PSEUDO_095;PSEUDO_098;PSEUDO_129
57.759921,66.934913,462.347222,12.492758,16.804364,-24.493398,49.478914,12,72,28,12,72,40,122,PSEUDO_019;PSEUDO_023;PSEUDO_034;PSEUDO_057;PSEUDO_067;PSEUDO_074;PSEUDO_076;PSEUDO_078;PSEUDO_083;PSEUDO_096;PSEUDO_124;PSEUDO_129
-43.209877,77.074423,598.141975,-7.224017,10.496381,-30.326396,15.878363,12,68,27,12,68,41,123,PSEUDO_019;PSEUDO_023;PSEUDO_033;PSEUDO_034;PSEUDO_040;PSEUDO_057;PSEUDO_058;PSEUDO_076;PSEUDO_078;PSEUDO_084;PSEUDO_096;PSEUDO_124
-65.518229,74.086048,727.986979,-8.999918,8.280070,-27.224230,9.224394,12,79,32,12,79,42,124,PSEUDO_023;PSEUDO_033;PSEUDO_034;PSEUDO_057;PSEUDO_058;PSEUDO_065;PSEUDO_068;PSEUDO_074;PSEUDO_076;PSEUDO_085;PSEUDO_095;PSEUDO_123
-2.500000,43.914058,432.693452,-0.577776,9.954170,-22.486758,21.331205,12,77,28,12,77,43,126,PSEUDO_019;PSEUDO_023;PSEUDO_033;PSEUDO_034;PSEUDO_058;PSEUDO_065;PSEUDO_067;PSEUDO_074;PSEUDO_082;PSEUDO_084;PSEUDO_095;PSEUDO_124
25.924444,12.339676,460.862222,5.625205,2.755483,-0.439572,11.689982,12,65,25,12,65,44,128,PSEUDO_019;PSEUDO_023;PSEUDO_033;PSEUDO_034;PSEUDO_055;PSEUDO_069;PSEUDO_074;PSEUDO_078;PSEUDO_095;PSEUDO_123;PSEUDO_124;PSEUDO_131
-56.661706,87.503476,650.688492,-8.707962,10.541273,-31.909148,14.493224,12,69,28,12,69,45,129,PSEUDO_023;PSEUDO_034;PSEUDO_050;PSEUDO_057;PSEUDO_058;PSEUDO_065;PSEUDO_069;PSEUDO_077;PSEUDO_078;PSEUDO_095;PSEUDO_129;PSEUDO_131
67.284259,60.947852,415.915741,16.177377,11.705939,-9.587221,41.941975,12,83,30,12,83,46,131,PSEUDO_019;PSEUDO_023;PSEUDO_050;PSEUDO_057;PSEUDO_065;PSEUDO_067;PSEUDO_076;PSEUDO_078;PSEUDO_095;PSEUDO_124;PSEUDO_129;PSEUDO_131
87.883142,70.635578,498.453065,17.631177,16.686755,-19.096124,54.358477,12,76,29,12,76,47,132,PSEUDO_019;PSEUDO_023;PSEUDO_034;PSEUDO_057;PSEUDO_065;PSEUDO_078;PSEUDO_085;PSEUDO_096;PSEUDO_098;PSEUDO_103;PSEUDO_124;PSEUDO_129
1.491770,18.271431,416.946502,0.357784,4.420021,-9.370616,10.086185,12,79,27,12,79,48,133,PSEUDO_023;PSEUDO_034;PSEUDO_040;PSEUDO_055;PSEUDO_065;PSEUDO_069;PSEUDO_082;PSEUDO_084;PSEUDO_095;PSEUDO_124;PSEUDO_129;PSEUDO_131
57.583333,29.664656,480.097701,11.994086,4.831447,1.360144,22.628029,12,75,29,12,75,49,137,PSEUDO_019;PSEUDO_033;PSEUDO_057;PSEUDO_065;PSEUDO_068;PSEUDO_074;PSEUDO_082;PSEUDO_084;PSEUDO_095;PSEUDO_103;PSEUDO_124;PSEUDO_129
-75.382407,84.865902,779.260185,-9.673586,8.807600,-29.058983,9.711810,12,76,30,12,76,50,138,PSEUDO_019;PSEUDO_023;PSEUDO_033;PSEUDO_034;PSEUDO_057;PSEUDO_058;PSEUDO_065;PSEUDO_076;PSEUDO_078;PSEUDO_098;PSEUDO_123;PSEUDO_131
